Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),Snowday?
30.3,10.6,20.5,0,2.5,0,0,0,0,0
33.2,16.8,25,0,7,0,0,0,0,0
34.5,18.1,26.3,0,8.3,0,0,0,0,0
32.1,20.9,26.5,0,8.5,0.5,0,0.5,0,0
33.6,21.9,27.8,0,9.8,0,0,0,0,0
26.9,18.3,22.6,0,4.6,0,0,0,0,0
24.5,12,18.3,0,0.3,0,0,0,0,0
26.7,12.5,19.6,0,1.6,0,0,0,0,0
33.3,19.5,26.4,0,8.4,11,0,11,0,0
25.1,19.1,22.1,0,4.1,0,0,0,0,0
27.5,14.9,21.2,0,3.2,0,0,0,0,0
21.3,17.8,19.6,0,1.6,0,0,0,0,0
28.2,17.2,22.7,0,4.7,0,0,0,0,0
32.3,14.9,23.6,0,5.6,0,0,0,0,0
33.4,14.5,24,0,6,3.9,0,3.9,0,0
29.2,17.6,23.4,0,5.4,0,0,0,0,0
32,15.2,23.6,0,5.6,0,0,0,0,0
29.6,20.1,24.9,0,6.9,0,0,0,0,0
26.5,16.3,21.4,0,3.4,0,0,0,0,0
29.6,13.2,21.4,0,3.4,9.3,0,9.3,0,0
28.5,14.2,21.4,0,3.4,4.6,0,4.6,0,0
22.2,18.3,20.3,0,2.3,9.9,0,9.9,0,0
21.7,17,19.4,0,1.4,11.4,0,11.4,0,0
26.7,17.6,22.2,0,4.2,0,0,0,0,0
24.7,18.3,21.5,0,3.5,6,0,6,0,0
26.5,16.2,21.4,0,3.4,0,0,0,0,0
27.9,15,21.5,0,3.5,0.2,0,0.2,0,0
26.3,19.1,22.7,0,4.7,1,0,1,0,0
23.4,9.7,16.6,1.4,0,0,0,0,0,0
24,11.9,18,0,0,0.2,0,0.2,0,0
27,12,19.5,0,1.5,0.2,0,0.2,0,0
27.5,14.4,21,0,3,0,0,0,0,0
29.4,16.1,22.8,0,4.8,0,0,0,0,0
24.9,19.2,22.1,0,4.1,8.6,0,8.6,0,0
22.8,18.8,20.8,0,2.8,0,0,0,0,0
24.5,8.1,16.3,1.7,0,0,0,0,0,0
31.1,11.1,21.1,0,3.1,0,0,0,0,0
27.6,18.4,23,0,5,2.4,0,2.4,0,0
26,19.9,23,0,5,13.8,0,13.8,0,0
27.5,16.4,22,0,4,2.1,0,2.1,0,0
28.1,18.1,23.1,0,5.1,0,0,0,0,0
26,14,20,0,2,13.8,0,13.8,0,0
17.7,8.7,13.2,4.8,0,0,0,0,0,0
22.9,5,14,4,0,0,0,0,0,0
27.1,9.4,18.3,0,0.3,0,0,0,0,0
28.3,13,20.7,0,2.7,0,0,0,0,0
19.8,15.4,17.6,0.4,0,14.9,0,14.9,0,0
25.8,7.8,16.8,1.2,0,0.5,0,0.5,0,0
18.9,14.4,16.7,1.3,0,27.3,0,27.3,0,0
14.5,7,10.8,7.2,0,0,0,0,0,0
20,3.4,11.7,6.3,0,2.4,0,2.4,0,0
17,13,15,3,0,17.2,0,17.2,0,0
16.2,1,8.6,9.4,0,0.8,0,0.8,0,0
20.5,10,15.3,2.7,0,0,0,0,0,0
20.7,12.4,16.6,1.4,0,0,0,0,0,0
15,4.5,9.8,8.2,0,0,0,0,0,0
16.7,2.4,9.6,8.4,0,,,,0,0
20.3,11,15.7,2.3,0,0,0,0,,0
20.2,5.3,12.8,5.2,0,0,0,0,0,0
20.1,8.9,14.5,3.5,0,0,0,0,0,0
21.7,15.6,18.7,0,0.7,0.2,0,0.2,0,0
22,10.5,16.3,1.7,0,8.6,0,8.6,0,0
15.8,4.4,10.1,7.9,0,0,0,0,0,0
14.7,7.2,11,7,0,2.6,0,2.6,0,0
10.7,3.1,6.9,11.1,0,2.4,0,2.4,0,0
7.4,1.8,4.6,13.4,0,0,0,0,0,0
17,6,11.5,6.5,0,0,0,0,0,0
8.9,4.4,6.7,11.3,0,0,0,0,0,0
10.7,-1.4,4.7,13.3,0,0,0,0,0,0
21.5,6,13.8,4.2,0,1.4,0,1.4,0,0
13.8,9.5,11.7,6.3,0,5.9,0,5.9,0,0
13.9,6.8,10.4,7.6,0,0,0,0,0,0
13.6,3.1,8.4,9.6,0,0,0,0,0,0
10.1,3,6.6,11.4,0,0,0,0,0,0
15.4,7.6,11.5,6.5,0,0,0,0,0,0
22.7,6.3,14.5,3.5,0,0,0,0,0,0
17.1,6,11.6,6.4,0,0.2,0,0.2,0,0
20.2,14.3,17.3,0.7,0,1,0,1,0,0
12.5,8.1,10.3,7.7,0,4.4,0,4.4,0,0
10.6,5.3,8,10,0,4.9,0,4.9,0,0
5.2,2.4,3.8,14.2,0,0.7,0,0.7,0,0
2.7,-2.3,0.2,17.8,0,0,0,0,0,0
2.7,-6.1,-1.7,19.7,0,0,0,0,0,0
3.5,-5.8,-1.2,19.2,0,0,0,0,0,0
6,-3.9,1.1,16.9,0,0,0,0,0,0
5.9,-4.5,0.7,17.3,0,0,0,0,0,0
20.5,0.2,10.4,7.6,0,5.6,0,5.6,0,0
5.3,1.6,3.5,14.5,0,0.2,0,0.2,0,0
6,-5.2,0.4,17.6,0,0,0,0,0,0
3.9,-3,0.5,17.5,0,0,0,0,0,0
6.1,-6.1,0,18,0,0,0,0,0,0
7.1,-5,1.1,16.9,0,0,0,0,0,0
5.8,-4.5,0.7,17.3,0,0,0,0,0,0
10.2,-3.1,3.6,14.4,0,0,0,0,0,0
13.3,-1.7,5.8,12.2,0,0,0,0,0,0
11.4,1.6,6.5,11.5,0,0.2,0,0.2,0,0
-1.6,-8.1,-4.9,22.9,0,0,0,0,2,0
1.1,-10.2,-4.6,22.6,0,0,0,0,0,0
2,-9.5,-3.8,21.8,0,0,0,0,0,0
0.3,-5.7,-2.7,20.7,0,0,0,0,0,0
-7.5,-13.6,-10.6,28.6,0,0,0,0,0,0
4,1.8,2.9,15.1,0,0.8,0,0.8,0,0
17.2,1.6,9.4,8.6,0,3,0,3,0,0
1,-2.2,-0.6,18.6,0,0,0,0,0,0
-1,-7.4,-4.2,22.2,0,0,0,0,0,0
4.4,-3.8,0.3,17.7,0,1.2,0,1.2,0,0
1.6,-5.1,-1.8,19.8,0,3.8,0,3.8,1,1
-7.4,-11.9,-9.7,27.7,0,0,0,0,1,0
-2,-13,-7.5,25.5,0,0,0,0,1,0
2.9,-8.6,-2.9,20.9,0,0,0,0,1,0
3.7,-4.1,-0.2,18.2,0,0,0,0,1,0
0.7,-7.1,-3.2,21.2,0,15,2,17,0,1
1.1,-0.7,0.2,17.8,0,2,6.7,10.4,2,0
1.3,0,0.7,17.3,0,0,0,0,5,0
0.5,-7.3,-3.4,21.4,0,2.6,20,22.6,5,0
1.2,-2.5,-0.7,18.7,0,0,19.9,19.9,16,1
0.3,-19.9,-9.8,27.8,0,0,0,0,43,0
2.8,-11.3,-4.3,22.3,0,0,0,0,40,0
4.3,-11.3,-3.5,21.5,0,0,0,0,39,0
3.4,-1.2,1.1,16.9,0,0,0,0,39,0
1.3,-8,-3.4,21.4,0,3,0,3,36,0
3.4,1.4,2.4,15.6,0,0,0,0,26,0
-0.3,-6.2,-3.3,21.3,0,0,0,0,25,0
1.2,-8.5,-3.7,21.7,0,0,0,0,25,0
-13.7,-16.3,-15,33,0,0,0,0,24,0
9.8,-23.5,-6.9,24.9,0,0,8.3,6.2,24,0
-15.6,-23.5,-19.6,37.6,0,0,0.5,0.2,29,0
-16,-19.6,-17.8,35.8,0,0,0,0,28,0
-22,-29.5,-25.8,43.8,0,0,0,0,28,0
-17.5,-27,-22.3,40.3,0,0,0,0,28,0
-14.4,-23,-18.7,36.7,0,0,0,0,28,0
-6.9,-13,-10,28,0,0,11.4,10.2,28,0
0.5,-16.1,-7.8,25.8,0,3,0,3,35,0
12,-5,3.5,14.5,0,15.2,0,15.2,33,0
3.9,-6.1,-1.1,19.1,0,0,0,0,22,0
-12.5,-16.1,-14.3,32.3,0,0,0,0,19,0
-10.2,-15,-12.6,30.6,0,0,0,0,22,0
-8.5,-23.2,-15.9,33.9,0,0,1.5,0.6,19,0
-9.6,-13.6,-11.6,29.6,0,0,0,0,20,0
-14.5,-20,-17.3,35.3,0,0,5.2,5.2,19,0
-8.5,-17.9,-13.2,31.2,0,0,13,9.6,22,1
2,-10.5,-4.3,22.3,0,3.5,1.7,5,32,0
1.7,-4.5,-1.4,19.4,0,1.4,0,1.4,33,0
1.6,-3,-0.7,18.7,0,0,0,0,33,0
2.2,-3.1,-0.5,18.5,0,0,4.2,4.2,31,0
2.7,-1.4,0.7,17.3,0,0,0,0,30,0
-0.4,-10.9,-5.7,23.7,0,0,6,5.6,30,0
-3.4,-5.2,-4.3,22.3,0,0,4,1.3,32,0
-2.9,-15.8,-9.4,27.4,0,0,0,0,32,0
1.4,-6.4,-2.5,20.5,0,0,0,0,32,0
4.6,-3.4,0.6,17.4,0,0,0,0,34,0
4,-4.1,-0.1,18.1,0,0,0,0,31,0
1.1,-0.5,0.3,17.7,0,1.5,29,38.2,29,1
1.4,-0.8,0.3,17.7,0,0,3,3,55,0
-0.1,-1.3,-0.7,18.7,0,0,0.3,0.3,52,0
-2.3,-9.1,-5.7,23.7,0,0,3.4,3.4,53,0
4.6,-6.4,-0.9,18.9,0,0,0,0,54,0
4.5,-2,1.3,16.7,0,0,0,0,52,0
0.7,-0.5,0.1,17.9,0,0,0,0,48,0
5,-3.5,0.8,17.2,0,0,0,0,47,0
-3.5,-17.6,-10.6,28.6,0,0,10,8.8,36,0
0.6,-7.5,-3.5,21.5,0,0,8.2,8.2,40,0
0.1,-14,-7,25,0,0,0.9,0.5,46,0
0,-7.1,-3.6,21.6,0,0,1.7,1.2,45,0
-1.5,-8.5,-5,23,0,0,0,0,47,0
6.1,-4.5,0.8,17.2,0,0,0,0,39,0
8.2,-1.2,3.5,14.5,0,0,0,0,39,0
5.5,0.2,2.9,15.1,0,0,0,0,34,0
8,1.4,4.7,13.3,0,0,0,0,31,0
0,-7.5,-3.8,21.8,0,0,0,0,10,0
1.4,-6.2,-2.4,20.4,0,0,0,0,10,0
7.7,-5.7,1,17,0,2.4,0.5,2.9,10,0
3.3,0.1,1.7,16.3,0,0,0,0,6,0
8.4,1.5,5,13,0,12.8,0,12.8,0,0
11.4,2.6,7,11,0,0.2,0,0.2,0,0
9,4.2,6.6,11.4,0,0,0,0,0,0
3.7,-3.8,-0.1,18.1,0,1.6,3,4.6,0,0
3,-2.7,0.2,17.8,0,12.1,3,15.1,0,1
13.5,-2.1,5.7,12.3,0,2,0,2,0,0
15,6,10.5,7.5,0,0.2,0,0.2,0,0
11.6,2,6.8,11.2,0,0,0,0,0,0
19.5,3.3,11.4,6.6,0,10.6,0,10.6,0,0
22.4,9.5,16,2,0,5.2,0,5.2,0,0
15,-2,6.5,11.5,0,0,0,0,0,0
15.7,0.7,8.2,9.8,0,0,0,0,0,0
18,5.2,11.6,6.4,0,5.4,0,5.4,0,0
12.1,1.8,7,11,0,3.5,0,3.5,0,0
12.4,3.9,8.2,9.8,0,1.1,0,1.1,0,0
15.1,10.3,12.7,5.3,0,1.8,0,1.8,0,0
20,11.2,15.6,2.4,0,0,0,0,0,0
24.4,7.7,16.1,1.9,0,0,0,0,0,0
27,10.8,18.9,0,0.9,0,0,0,0,0
23.3,11.4,17.4,0.6,0,0,0,0,0,0
26.1,9.8,18,0,0,0,0,0,0,0
27.5,6.7,17.1,0.9,0,0,0,0,0,0
27.5,10,18.8,0,0.8,0,0,0,0,0
24.2,15.1,19.7,0,1.7,0,0,0,0,0
16.8,9.6,13.2,4.8,0,16,0,16,0,0
11.4,1.9,6.7,11.3,0,0,0,0,0,0
15,-0.9,7.1,10.9,0,0,0,0,0,0
16.9,1.7,9.3,8.7,0,1.4,0,1.4,0,0
17.5,6.5,12,6,0,0,0,0,0,0
20.3,5,12.7,5.3,0,0,0,0,0,0
17.5,13.8,15.7,2.3,0,13.8,0,13.8,0,0
22.2,13,17.6,0.4,0,21.2,0,21.2,0,0
20.5,14.9,17.7,0.3,0,5,0,5,0,0
13,4.1,8.6,9.4,0,3.5,0,3.5,0,0
19.7,5.6,12.7,5.3,0,0,0,0,0,0
23,4.7,13.9,4.1,0,2.4,0,2.4,0,0
25,13.2,19.1,0,1.1,1.6,0,1.6,0,0
30,14.2,22.1,0,4.1,1.2,0,1.2,0,0
32.1,18.4,25.3,0,7.3,3.2,0,3.2,0,0
19.7,10.8,15.3,2.7,0,0,0,0,0,0
20.5,9.4,15,3,0,0,0,0,0,0
16.9,8.3,12.6,5.4,0,0,0,0,0,0
13,10,11.5,6.5,0,28.6,0,28.6,0,0
14.5,11.5,13,5,0,2.7,0,2.7,0,0
25.9,12.9,19.4,0,1.4,20.4,0,20.4,0,0
17.2,13.9,15.6,2.4,0,11.6,0,11.6,0,0
24.6,12,18.3,0,0.3,0.2,0,0.2,0,0
22.8,12.7,17.8,0.2,0,0,0,0,0,0
24,14.1,19.1,0,1.1,0,0,0,0,0
17.7,12.7,15.2,2.8,0,0.2,0,0.2,0,0
20.4,7.4,13.9,4.1,0,0,0,0,0,0
20.5,8.4,14.5,3.5,0,0,0,0,0,0
24.1,8.5,16.3,1.7,0,0,0,0,0,0
27,13.7,20.4,0,2.4,0,0,0,0,0
31.8,20.3,26.1,0,8.1,4,0,4,0,0
28.5,19.2,23.9,0,5.9,3.8,0,3.8,0,0
28.4,18.8,23.6,0,5.6,0,0,0,0,0
27,18.7,22.9,0,4.9,4.4,0,4.4,0,0
17.3,14.8,16.1,1.9,0,26,0,26,0,0
23.5,15,19.3,0,1.3,0,0,0,0,0
20,14.6,17.3,0.7,0,0,0,0,0,0
27.9,17.8,22.9,0,4.9,0,0,0,0,0
29.2,18.6,23.9,0,5.9,0,0,0,0,0
28.2,20.2,24.2,0,6.2,0,0,0,0,0
26,16.8,21.4,0,3.4,0,0,0,0,0
29.5,18.4,24,0,6,0.6,0,0.6,0,0
29.2,21.8,25.5,0,7.5,2.7,0,2.7,0,0
25.2,17.6,21.4,0,3.4,0,0,0,0,0
24.7,13.4,19.1,0,1.1,0,0,0,0,0
32.2,21.5,26.9,0,8.9,0,0,0,0,0
33,20.2,26.6,0,8.6,0,0,0,0,0
34,23.1,28.6,0,10.6,0.2,0,0.2,0,0
30.4,19.8,25.1,0,7.1,1,0,1,0,0
33.3,21.8,27.6,0,9.6,26,0,26,0,0
25.4,10.6,18,0,0,0,0,0,0,0
29.3,16.4,22.9,0,4.9,7.7,0,7.7,0,0
20.7,11.4,16.1,1.9,0,0,0,0,0,0
23.3,9.9,16.6,1.4,0,0,0,0,0,0
25.6,10.2,17.9,0.1,0,0,0,0,0,0
22,12.8,17.4,0.6,0,4.4,0,4.4,0,0
23.8,12.2,18,0,0,0,0,0,0,0
26.2,12.1,19.2,0,1.2,1.2,0,1.2,0,0
23.2,17.8,20.5,0,2.5,18,0,18,0,0
25.2,15.1,20.2,0,2.2,1.1,0,1.1,0,0
24,7.8,15.9,2.1,0,0,0,0,0,0
24.5,13.2,18.9,0,0.9,0,0,0,0,0
24.6,14.5,19.6,0,1.6,20.2,0,20.2,0,0
26.5,16.5,21.5,0,3.5,0,0,0,0,0
26.8,18.4,22.6,0,4.6,0,0,0,0,0
25.5,13.7,19.6,0,1.6,11.2,0,11.2,0,0
23,15,19,0,1,4,0,4,0,0
21.4,13.2,17.3,0.7,0,0.4,0,0.4,0,0
24.4,11.7,18.1,0,0.1,0,0,0,0,0
23.5,12.8,18.2,0,0.2,0,0,0,0,0
27.5,16.2,21.9,0,3.9,0,0,0,0,0
30.7,15.9,23.3,0,5.3,0,0,0,0,0
30.5,17,23.8,0,5.8,3,0,3,0,0
24.2,19.6,21.9,0,3.9,2.4,0,2.4,0,0
22,14,18,0,0,0,0,0,0,0
24.9,17.6,21.3,0,3.3,0.5,0,0.5,0,0
27.2,20.4,23.8,0,5.8,0.2,0,0.2,0,0
29.6,17.2,23.4,0,5.4,0,0,0,0,0
27.5,17.4,22.5,0,4.5,0,0,0,0,0
27.7,17.2,22.5,0,4.5,12.4,0,12.4,0,0
23,16,19.5,0,1.5,11.2,0,11.2,0,0
20.7,13.5,17.1,0.9,0,0.3,0,0.3,0,0
19.7,12.3,16,2,0,0,0,0,0,0
17.3,8.4,12.9,5.1,0,0,0,0,0,0
21,4.8,12.9,5.1,0,0,0,0,0,0
21.6,5.1,13.4,4.6,0,6.2,0,6.2,0,0
22,12.8,17.4,0.6,0,0,0,0,0,0
28.6,14.8,21.7,0,3.7,7,0,7,0,0
24.5,19.4,22,0,4,16.2,0,16.2,0,0
12.5,10.4,11.5,6.5,0,0,0,0,0,0
12.2,6.2,9.2,8.8,0,0,0,0,0,0
17.8,1.7,9.8,8.2,0,0,0,0,0,0
22,4,13,5,0,0,0,0,0,0
24.9,4.9,14.9,3.1,0,0,0,0,0,0
26.2,9.9,18.1,0,0.1,4,0,4,0,0
12.8,4.5,8.7,9.3,0,0,0,0,0,0
19,4.9,12,6,0,0,0,0,0,0
20.7,3,11.9,6.1,0,0,0,0,0,0
19.2,7.3,13.3,4.7,0,0,0,0,0,0
20.5,5.5,13,5,0,0,0,0,0,0
24.1,8.2,16.2,1.8,0,0,0,0,0,0
23.4,15.7,19.6,0,1.6,0,0,0,0,0
24.6,13.3,19,0,1,0,0,0,0,0
22.2,9.1,15.7,2.3,0,0.4,0,0.4,0,0
16.6,12.9,14.8,3.2,0,0.3,0,0.3,0,0
23,9,16,2,0,22.3,0,22.3,0,0
14.9,5.1,10,8,0,0,0,0,0,0
18.4,1.8,10.1,7.9,0,0,0,0,0,0
20.7,1.9,11.3,6.7,0,0,0,0,0,0
22.5,2.7,12.6,5.4,0,0,0,0,0,0
17.5,12.5,15,3,0,0,0,0,0,0
15.3,8.3,11.8,6.2,0,0.3,0,0.3,0,0
18.3,11.3,14.8,3.2,0,0.4,0,0.4,0,0
17.7,10,13.9,4.1,0,9.2,0,9.2,0,0
14.3,10.2,12.3,5.7,0,0,0,0,0,0
14.1,0.5,7.3,10.7,0,3.6,0,3.6,0,0
10.8,7.3,9.1,8.9,0,0,0,0,0,0
8.1,1.7,4.9,13.1,0,0,0,0,0,0
6.1,-1.9,2.1,15.9,0,0,0,0,0,0
5.5,-0.1,2.7,15.3,0,0.8,0,0.8,0,0
5.7,2.3,4,14,0,0,0,0,0,0
4.3,-5.6,-0.7,18.7,0,0,0,0,0,0
6.8,-3.5,1.7,16.3,0,0,0,0,0,0
16.7,-0.5,8.1,9.9,0,16.4,0,16.4,0,0
17.2,6.5,11.9,6.1,0,1.4,0,1.4,0,0
4.1,-6,-1,19,0,0,0,0,0,0
10.9,-1.9,4.5,13.5,0,0,0,0,0,0
14.9,5.1,10,8,0,2.4,0,2.4,0,0
6.2,3.5,4.9,13.1,0,0,0,0,0,0
3.3,0.3,1.8,16.2,0,0,0,0,0,0
4.8,-1,1.9,16.1,0,2.8,0,2.8,0,0
-1.7,-5,-3.4,21.4,0,0,0,0,0,0
2.8,-10.1,-3.7,21.7,0,0,0,0,0,0
7.4,-0.9,3.3,14.7,0,0,0,0,0,0
10,0,5,13,0,0,0,0,0,0
10.2,5.3,7.8,10.2,0,0.5,0,0.5,0,0
0.6,-1.6,-0.5,18.5,0,0,0,0,0,0
1.8,-8.4,-3.3,21.3,0,0,0,0,0,0
4.1,-6.5,-1.2,19.2,0,1.2,0,1.2,0,0
5,0.2,2.6,15.4,0,0.6,0,0.6,0,0
0.9,-14.5,-6.8,24.8,0,0,0,0,2,0
3,-1,1,17,0,0,10,10,1,0
1,-0.6,0.2,17.8,0,0,12,7.9,12,1
-6,-9.5,-7.8,25.8,0,0,0,0,15,0
-6.8,-18.9,-12.9,30.9,0,0,0,0,15,0
-0.6,-2.9,-1.8,19.8,0,0,0,0,14,0
1.2,-1.5,-0.2,18.2,0,0,0,0,14,0
1.1,-6.5,-2.7,20.7,0,0,0,0,13,0
7.2,-0.6,3.3,14.7,0,0.2,0,0.2,13,0
1.5,-0.5,0.5,17.5,0,0,0,0,5,0
1.7,-6.5,-2.4,20.4,0,0,3,2.1,4,0
-5,-6.5,-5.8,23.8,0,0,0,0,6,0
-6.3,-12.8,-9.6,27.6,0,0,0,0,5,0
-7.4,-22.3,-14.9,32.9,0,0,0,0,5,0
-14.3,-16,-15.2,33.2,0,0,0,0,5,0
-17,-21.8,-19.4,37.4,0,0,0,0,20,0
-15.1,-29.2,-22.2,40.2,0,0,1.5,0.4,19,0
-6.5,-17.4,-12,30,0,0,3,1.9,19,0
5.8,-8.2,-1.2,19.2,0,0,0,0,31,1
-14,-17.9,-16,34,0,0,0,0,29,0
-9.5,-16.4,-13,31,0,0,0,0,29,0
-7.6,-14.7,-11.2,29.2,0,0,0.5,0.2,29,0
-1.5,-15.1,-8.3,26.3,0,0,0,0,29,0
6.2,-2.5,1.9,16.1,0,0.5,0,0.5,25,0
5.2,2.2,3.7,14.3,0,0,0,0,20,0
2.2,-8.1,-3,21,0,0,0,0,20,0
-1.2,-9,-5.1,23.1,0,0,0,0,19,0
0,-5.2,-2.6,20.6,0,0,1,0.4,19,0
-15.1,-17.7,-16.4,34.4,0,0,0,0,24,0
-20.5,-25,-22.8,40.8,0,0,0,0,20,0
-17.1,-26.7,-21.9,39.9,0,0,0,0,20,0
-18.6,-25,-21.8,39.8,0,0,0,0,19,0
-7.7,-26.4,-17.1,35.1,0,0,2,0.6,19,0
-7.3,-17.4,-12.4,30.4,0,0,0,0,27,0
-10.5,-23.6,-17.1,35.1,0,0,0,0,24,0
-10.2,-17.1,-13.7,31.7,0,0,0,0,26,0
-1.7,-16.2,-9,27,0,0,0,0,24,0
0.3,-6.1,-2.9,20.9,0,0,0,0,24,0
-3.7,-16.4,-10.1,28.1,0,0,0,0,36,0
-4.7,-15.2,-10,28,0,0,0,0,37,0
-7.9,-10,-9,27,0,0,1.8,1,37,0
-8.4,-21.1,-14.8,32.8,0,0,0,0,37,0
-7.3,-11,-9.2,27.2,0,0,0,0,37,0
-7,-16.6,-11.8,29.8,0,0,0,0,39,0
-11.8,-21,-16.4,34.4,0,0,0,0,38,0
-8.6,-26.6,-17.6,35.6,0,0,0,0,37,0
-4.7,-18.9,-11.8,29.8,0,0,5.8,2.9,37,0
-3.5,-7.8,-5.7,23.7,0,0,5,2.6,40,0
-8.3,-20.2,-14.3,32.3,0,0,1.5,1,41,0
-4,-18.7,-11.4,29.4,0,0,1.5,0.5,41,0
0.4,-11,-5.3,23.3,0,0,0,0,43,0
1.9,-9.8,-4,22,0,9.8,0,9.8,43,0
4.2,-0.5,1.9,16.1,0,16.7,0,16.7,42,1
-7.4,-10.8,-9.1,27.1,0,0,0,0,37,0
-9,-15.4,-12.2,30.2,0,0,0,0,36,0
-10.5,-15.4,-13,31,0,0,1.3,0.8,36,0
-8.4,-17.1,-12.8,30.8,0,0,0.8,0.4,36,0
-12,-21.2,-16.6,34.6,0,0,4.5,3,36,0
-13.7,-22,-17.9,35.9,0,0,0,0,42,0
-8.5,-22.9,-15.7,33.7,0,0,4,1.6,40,0
-7.3,-17.9,-12.6,30.6,0,0,0,0,46,0
-5.9,-20.6,-13.3,31.3,0,0,0,0,36,0
-2.7,-16,-9.4,27.4,0,0,0,0,36,0
3.2,-8.3,-2.6,20.6,0,5.6,3,9.6,36,0
3.2,-2.5,0.4,17.6,0,0,0,0,36,0
2,-3.4,-0.7,18.7,0,0,2,1.8,35,0
-2.3,-18.1,-10.2,28.2,0,0,0,0,38,0
-0.7,-16.3,-8.5,26.5,0,0,0,0,38,0
-5,-11,-8,26,0,0,0,0,38,0
1.9,-14.5,-6.3,24.3,0,0,2.5,2.3,38,0
5.5,-4.6,0.5,17.5,0,10.6,0,10.6,40,0
8.8,-2.6,3.1,14.9,0,0,0,0,38,0
4.4,-3.8,0.3,17.7,0,0,0,0,35,0
7.3,1,4.2,13.8,0,0,0,0,34,0
5.3,-3.2,1.1,16.9,0,0,0,0,31,0
5.2,-3.5,0.9,17.1,0,11,0,11,28,0
10.2,-3.5,3.4,14.6,0,16.9,0,16.9,20,0
5.2,1.6,3.4,14.6,0,3.6,0,3.6,12,0
5.6,-1.3,2.2,15.8,0,0,0,0,9,0
16,-2.7,6.7,11.3,0,3.8,0,3.8,3,0
12,2.7,7.4,10.6,0,0,0,0,0,0
24.9,3.1,14,4,0,6.2,0,6.2,0,0
2.4,-3.7,-0.7,18.7,0,7,0,7,0,0
1.8,-8.8,-3.5,21.5,0,0,0,0,0,0
